"V1"	"V2"	"V3"
"1"	"1"	"-0.0273186580375964"	"0.0277625939131049"
"2"	"2"	"0.220288925162921"	"-0.330415350987313"
"3"	"3"	"-0.135093132577719"	"-0.307620028669977"
"4"	"4"	"-0.228151584355859"	"-0.315082550471336"
"5"	"5"	"-0.1411190007912"	"0.257345437314777"
"6"	"6"	"-0.11999665772553"	"-0.0135396209590442"
"7"	"7"	"-0.034640393277922"	"-0.25642917579147"
"8"	"8"	"0.337282702644805"	"0.22036962949076"
"9"	"10"	"-0.303214940255296"	"0.0230430536369696"
"10"	"11"	"-0.193153007943263"	"0.0425191492187813"
"11"	"13"	"-0.122476140522762"	"0.250992389418371"
"12"	"14"	"0.0352530915742264"	"-0.291270629135466"
"13"	"16"	"-0.12240226153409"	"0.300489919422856"
"14"	"18"	"-0.0468157226690566"	"-0.11393234338107"
"15"	"19"	"-0.233065164910714"	"-0.0887166678343669"
"16"	"20"	"-0.284608575735915"	"0.245945870784785"
"17"	"21"	"-0.134108169720294"	"0.0598847891278103"
"18"	"22"	"-0.0165922027912223"	"-0.302882930020375"
"19"	"23"	"-0.237384568211418"	"0.156191482639326"
"20"	"24"	"-0.349365107445776"	"-0.107001039000859"
"21"	"26"	"-0.246046616184975"	"0.121915971066753"
"22"	"28"	"-0.215719561058098"	"-0.177898170983797"
"23"	"29"	"-0.149908766006792"	"-0.0873835304588382"
"24"	"31"	"0"	"0"
"25"	"32"	"-0.327031505426346"	"-0.0910677520061404"
