,,,,,,,Číslo,20,37,19,3,9,24,18,21,27,33,35,25,14,8,15,17,36,4,34,28,1,10,13,11,38,2,29,32,39,5,6,26,12,23,30,22,16,7,31,,
Walter,Bartoš,ODS,Občanská demokratická strana,Jihomoravský,m,345,345,1,-1,-1,-1,1,1,0,1,1,1,1,1,1,-1,1,0,1,1,1,0,0,0,0,1,-1,0,0,,,-1,-1,1,-1,-1,0,0,1,-1,0,,
Petr,Bendl,ODS,Občanská demokratická strana,Středočeský,m,346,346,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-1,0,0,,,-1,-1,-1,-1,-1,0,0,1,0,0,,
Karel,Černý,ČSSD,Česká strana sociálně demokratická,Vysočina,m,354,354,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,1,1,1,-1,-1,0,1,1,0,0,,,0,1,-1,1,1,1,1,-1,1,-1,,
Michal,Doktor,ODS-Nezařazení,Občanská demokratická strana-Nezařazení,Jihočeský,m,356,356,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,0,0,1,1,0,0,0,-1,1,1,-1,0,-1,,,-1,-1,0,-1,-1,0,0,1,0,0,,
Pavel,Hojda,KSČM,Komunistická strana Čech a Moravy,Karlovarský,m,366,366,-1,1,1,1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,,,1,0,-1,0,0,1,1,-1,0,1,,
Miroslav,Kalousek,TOP 09,TOP 09,Středočeský,m,377,377,1,-1,1,1,-1,1,1,0,1,1,1,0,0,1,-1,0,1,-1,0,1,1,1,1,1,-1,-1,1,,,-1,-1,1,0,0,0,0,1,0,0,,
Stanislav,Křeček,ČSSD,Česká strana sociálně demokratická,Hlavní město Praha,m,386,386,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,1,1,1,-1,-1,-1,1,1,0,0,0,,,1,0,1,1,1,1,1,-1,1,0,,
Jaroslav,Lobkowicz,TOP 09,TOP 09,Plzeňský,m,392,392,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,-1,-1,,,-1,-1,-1,-1,-1,-1,-1,1,0,1,,
Miroslava,Němcová,ODS,Občanská demokratická strana,Vysočina,f,401,401,1,-1,1,1,0,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,,,-1,-1,-1,-1,-1,1,1,1,-1,1,,
Břetislav,Petr,ČSSD,Česká strana sociálně demokratická,Moravskoslezský,m,410,410,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,1,1,-1,-1,-1,1,1,0,0,,,0,0,0,0,0,0,0,-1,0,-1,,
Pavel,Suchánek,ODS,Občanská demokratická strana,Jihomoravský,m,415,415,1,-1,1,-1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,-1,1,-1,0,0,,,-1,-1,-1,-1,-1,-1,-1,1,-1,0,,
Milan,Urban,ČSSD,Česká strana sociálně demokratická,Středočeský,m,422,422,-1,1,-1,1,0,1,-1,-1,-1,-1,-1,0,0,0,1,-1,1,1,1,0,-1,-1,1,1,1,1,1,,,1,1,1,1,0,0,1,-1,0,0,,
Petr,Gandalovič,ODS,Občanská demokratická strana,Ústecký,m,1296,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,-1,0,0,0,0,0,0,0,0,0,,
Stanislav,Grospič,KSČM,Komunistická strana Čech a Moravy,Středočeský,m,4778,4778,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,0,1,1,1,1,1,,,1,1,-1,1,1,1,1,-1,1,0,,
Miroslav,Svoboda,ČSSD,Česká strana sociálně demokratická,Hlavní město Praha,m,5255,5255,1,1,1,-1,0,1,-1,0,-1,-1,-1,-1,-1,0,1,-1,1,1,0,-1,-1,-1,0,0,1,1,1,,,0,0,0,0,1,0,0,-1,0,-1,,
Jiří,Dolejš,KSČM,Komunistická strana Čech a Moravy,Hlavní město Praha,m,5261,5261,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,0,1,0,1,1,1,,,1,1,-1,1,1,1,-1,-1,1,1,,
Miloslava,Vostrá,KSČM,Komunistická strana Čech a Moravy,Středočeský,f,5268,5268,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,-1,-1,1,1,1,1,,,1,1,-1,1,1,1,1,-1,1,1,,
Petr,Braný,KSČM,Komunistická strana Čech a Moravy,Jihočeský,m,5270,5270,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,0,-1,1,1,1,1,,,1,1,-1,1,0,1,1,-1,0,0,,
Václav,Votava,ČSSD,Česká strana sociálně demokratická,Plzeňský,m,5272,5272,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,1,1,1,-1,0,1,1,1,1,1,,,1,1,-1,1,1,1,1,-1,1,-1,,
Jiří,Pospíšil,ODS,Občanská demokratická strana,Plzeňský,m,5273,5273,1,-1,1,1,1,1,1,0,0,0,0,1,-1,1,-1,1,1,1,1,1,1,0,0,1,-1,0,0,,,-1,0,1,0,-1,-1,0,1,-1,0,,
Ivana,Levá,KSČM,Komunistická strana Čech a Moravy,Plzeňský,f,5274,5274,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,1,-1,-1,-1,-1,0,1,1,0,,,1,1,0,1,1,1,1,-1,1,1,,
Jaroslav,Krákora,ČSSD,Česká strana sociálně demokratická,Ústecký,m,5279,5279,-1,1,1,1,-1,1,-1,-1,0,0,0,-1,-1,0,-1,-1,1,1,1,1,-1,-1,1,1,1,1,-1,,,0,1,1,1,0,0,1,-1,1,0,,
Josef,Šenfeld,KSČM,Komunistická strana Čech a Moravy,Ústecký,m,5282,5282,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,-1,1,-1,-1,1,1,1,1,1,,,0,1,-1,1,1,1,1,-1,1,0,,
Soňa,Marková,KSČM,Komunistická strana Čech a Moravy,Královéhradecký,f,5290,5290,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,1,1,1,1,-1,-1,-1,1,1,1,1,,,1,1,-1,1,1,1,1,-1,0,0,,
Miroslav,Váňa,ČSSD,Česká strana sociálně demokratická,Pardubický,m,5292,5292,1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,1,1,1,1,-1,0,0,0,1,1,0,,,1,0,-1,1,1,1,1,-1,1,-1,,
Petr,Zgarba,ČSSD,Česká strana sociálně demokratická,Vysočina,m,5294,5294,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,,,0,0,0,0,0,0,0,-1,1,0,,
Marie,Rusová,KSČM,Komunistická strana Čech a Moravy,Vysočina,f,5296,5296,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,1,1,-1,0,1,0,1,1,1,,,1,1,-1,1,1,1,0,-1,1,1,,
Michal,Hašek,ČSSD,Česká strana sociálně demokratická,Jihomoravský,m,5297,5297,-1,1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,1,1,1,0,,,1,0,-1,1,1,1,0,0,0,0,,
Václav,Mencl,ODS,Občanská demokratická strana,Jihomoravský,m,5300,5300,1,-1,1,1,1,1,1,1,0,1,1,-1,1,1,1,0,1,1,1,0,1,1,-1,1,-1,0,0,,,-1,0,-1,-1,-1,-1,-1,1,0,1,,
David,Šeich,ODS,Občanská demokratická strana,Jihomoravský,m,5301,5301,1,-1,1,-1,1,0,1,1,0,0,0,-1,-1,1,-1,1,1,-1,1,1,1,1,-1,1,-1,0,0,,,-1,0,-1,-1,-1,0,-1,1,-1,0,,
Alexander,Černý,KSČM,Komunistická strana Čech a Moravy,Olomoucký,m,5307,5307,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,-1,-1,0,-1,1,1,1,1,,,1,1,-1,1,1,1,1,0,1,1,,
Antonín,Seďa,ČSSD,Česká strana sociálně demokratická,Zlínský,m,5310,5310,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,0,0,0,1,-1,1,1,1,0,0,-1,-1,1,1,1,1,,,1,1,1,1,1,1,1,-1,0,0,,
Josef,Smýkal,ČSSD,Česká strana sociálně demokratická,Zlínský,m,5311,5311,-1,1,1,1,0,-1,0,-1,0,0,0,0,0,0,0,-1,1,1,0,1,-1,-1,0,1,1,1,1,,,1,0,-1,1,1,1,1,-1,1,0,,
Vladimír,Koníček,KSČM,Komunistická strana Čech a Moravy,Zlínský,m,5313,5313,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,0,0,1,1,0,1,,,1,1,-1,1,1,1,1,-1,1,1,,
Alfréd,Michalík,ČSSD,Česká strana sociálně demokratická,Moravskoslezský,m,5317,5317,-1,1,-1,-1,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,1,1,0,1,,,1,1,-1,1,0,0,1,-1,0,0,,
Kateřina,Konečná,KSČM,Komunistická strana Čech a Moravy,Moravskoslezský,f,5321,5321,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,1,-1,1,-1,-1,0,0,1,1,1,0,,,1,0,0,1,1,1,0,-1,1,1,,
Miroslav,Opálka,KSČM,Komunistická strana Čech a Moravy,Moravskoslezský,m,5322,5322,-1,1,1,1,-1,-1,0,0,0,0,0,0,0,0,1,-1,1,1,1,1,-1,-1,1,1,1,1,1,,,1,1,-1,0,1,1,1,-1,1,0,,
Robin,Böhnisch,ČSSD,Česká strana sociálně demokratická,Královéhradecký,m,5342,5342,-1,1,1,-1,-1,0,-1,0,-1,-1,-1,0,0,0,-1,-1,-1,1,0,1,-1,-1,0,1,1,0,0,,,1,0,1,0,0,1,1,-1,-1,-1,,
Jozef,Kochan,ODS,Občanská demokratická strana,Královéhradecký,m,5375,5375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,,,0,0,0,0,0,0,0,0,0,0,,
Petr,Tluchoř,ODS,Občanská demokratická strana,Středočeský,m,5376,5376,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,-1,-1,1,1,0,0,0,0,0,0,,,-1,-1,-1,0,0,0,-1,0,0,0,,
Jan,Bauer,ODS,Občanská demokratická strana,Jihočeský,m,5379,5379,1,-1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,-1,0,0,,,-1,-1,-1,-1,-1,-1,-1,1,0,0,,
František,Bublan,ČSSD,Česká strana sociálně demokratická,Vysočina,m,5383,5383,1,0,1,0,-1,1,-1,-1,0,0,0,-1,-1,0,1,-1,1,1,1,0,-1,-1,0,0,0,0,0,,,1,0,-1,1,1,1,1,0,0,0,,
Jiří,Paroubek,ČSSD-Nezařazení,Česká strana sociálně demokratická-Nezařazení,Ústecký,m,5384,5384,-1,1,-1,1,0,-1,0,0,-1,0,0,-1,0,-1,-1,-1,-1,0,1,0,0,0,-1,1,-1,0,0,,,0,1,1,0,1,1,1,-1,1,-1,,
