"V1"	"V2"	"V3"
"1"	"1"	"0.0348212252902186"	"0.176920290646888"
"2"	"2"	"0.0772733395071456"	"0.278527550107218"
"3"	"3"	"0.115283753306148"	"0.0703878598586468"
"4"	"4"	"0.158780536021318"	"0.195724389091338"
"5"	"5"	"0.0771631251012526"	"0.0251772724155331"
"6"	"6"	"0.00948637003050715"	"-0.130374219386912"
"7"	"7"	"0.129657298740011"	"-0.199255495909069"
"8"	"8"	"0.0596843731390504"	"0.195504368971358"
"9"	"9"	"0.197006790530803"	"0.186084932995659"
"10"	"10"	"-0.175918480210554"	"0.0745119959628945"
"11"	"11"	"-0.226082636411445"	"0.129838852101776"
"12"	"12"	"0.103932828941882"	"0.218016532755833"
"13"	"13"	"0.227445700662806"	"0.119693237288539"
"14"	"14"	"-0.0152455499023049"	"0.292382717645561"
"15"	"15"	"0.237983713724814"	"-0.152013931731365"
"16"	"16"	"0.165904789791334"	"-0.0590484612732186"
"17"	"17"	"0.205930743585011"	"0.150950014213514"
"18"	"18"	"0.136190558258771"	"0.153391019501468"
"19"	"19"	"0.208051451807704"	"0.00880607156828836"
"20"	"20"	"0.176641395527353"	"0.133496769214592"
"21"	"21"	"-0.143609066673036"	"0.089599049885869"
"22"	"22"	"0.207732037596115"	"0.0882999860379077"
"23"	"23"	"0.00458011344350182"	"0.27530162347016"
"24"	"24"	"0.0223111491570631"	"0.342188198774297"
"25"	"25"	"-0.055523035280031"	"-0.0660050896865192"
"26"	"26"	"0.145985647341716"	"-0.0726335269217829"
"27"	"27"	"0.125993375856538"	"-0.129196727432168"
"28"	"28"	"0.134151660446054"	"-0.0816728900510258"
"29"	"29"	"0.0784947918905873"	"0.107642734663271"
"30"	"30"	"0.136215891344424"	"-0.0910466674563968"
"31"	"31"	"0.0781146108559769"	"-0.246379105237131"
"32"	"32"	"0.171227198708419"	"0.128303762652786"
"33"	"33"	"-0.245510694804525"	"0.00896972945650788"
"34"	"34"	"0.105467597087124"	"0.0146429677813772"
"35"	"35"	"-0.144315495836326"	"-0.0537556182668443"
"36"	"36"	"0.0625047569740089"	"-0.193787724328698"
"37"	"37"	"0.100799037568807"	"0.144507384308573"
"38"	"38"	"-0.239699707521949"	"0.141788285847845"
"39"	"39"	"0.248120727948503"	"-0.129420678092735"
"40"	"40"	"-0.227359999690436"	"0.0671395139788006"
"41"	"41"	"0.254857666224203"	"-0.124037405770643"
