id,jmeno,prijmeni,obvod,,,obvod,cislo,,prijmeni,jmeno,foto,cro_n
40,Ivan,Strachoň,70,,TRUE,70,9,,Strachoň,Ivan,https://samizdat.blob.core.windows.net/vizitky16/senat-70-ova-kscm-ivan-strachon.jpg,
41,Alena,Vitásková,70,,TRUE,70,7,,Vitásková,Alena,https://samizdat.blob.core.windows.net/vizitky16/senat-70-ova-usvit-nk-alena-vitaskova.jpg,
42,Jiří ,Demel,67,,TRUE,67,2,,Demel,Jiří,https://samizdat.blob.core.windows.net/vizitky16/senat-67-nj-pirati-jiri-demel.jpg,
43,Pavel,Pisch,67,,TRUE,67,6,,Pisch,Pavel,https://samizdat.blob.core.windows.net/vizitky16/senat-67-nj-kscm-pavel-pisch.jpg,
44,Jiří,Strýček,67,,TRUE,67,5,,Strýček,Jiří,https://samizdat.blob.core.windows.net/vizitky16/senat-67-nj-ano-jiri-strycek.jpg,
45,Petr,Orel,67,,TRUE,67,3,,Orel,Petr,https://samizdat.blob.core.windows.net/vizitky16/senat-67-nj-zeleni-a-kdu-petr-orel.jpg,
46,Pavel,Jurečka,67,,TRUE,67,1,,Jurečka,Pavel,https://samizdat.blob.core.windows.net/vizitky16/senat-67-nj-usvit-nk-pavel-jurecka.jpg,
47,Jaroslav,Dvořák,67,,TRUE,67,4,,Dvořák,Jaroslav,https://samizdat.blob.core.windows.net/vizitky16/senat-67-nj-cssd-jaroslav-dvorak.jpg,
48,Jaroslav,Chalupa,64,,TRUE,64,10,,Chalupa,Jaroslav,https://samizdat.blob.core.windows.net/vizitky16/senat-64-br-dsss-jaroslav-chalupa.jpg,
49,Vítězslav,Maláč,64,,TRUE,64,9,,Maláč,Vítězslav,https://samizdat.blob.core.windows.net/vizitky16/senat-64-br-kdu-csl-vitezslav-malac.jpg,
50,Bronislav,Sedláček,64,,TRUE,64,4,,Sedláček,Bronislav,https://samizdat.blob.core.windows.net/vizitky16/senat-64-br-stan-bronislav-sedlacek.jpg,
51,Ladislav,Sekanina,64,,TRUE,64,11,,Sekanina,Ladislav,https://samizdat.blob.core.windows.net/vizitky16/senat-64-br-kscm-ladislav-sekanina.jpg,
52,Rudolf,Skandera,64,,TRUE,64,2,,Skandera,Rudolf,https://samizdat.blob.core.windows.net/vizitky16/senat-64-br-usvit-nk-rudolf-skandera.jpg,
53,Salome,Sýkorová,64,,TRUE,64,3,,Sýkorová,Salome,https://samizdat.blob.core.windows.net/vizitky16/senat-64-br-snk-ed-salome-sykorova.jpg,
54,Radoslav,Štědroň,64,,TRUE,64,7,,Štědroň,Radoslav,https://samizdat.blob.core.windows.net/vizitky16/muz.png,
55,Ladislav,Václavec,64,,TRUE,64,1,,Václavec,Ladislav,https://samizdat.blob.core.windows.net/vizitky16/senat-64-br-ano-ladislav-vaclavec.jpg,
56,Ladislav,Velebný,64,,TRUE,64,6,,Velebný,Ladislav,https://samizdat.blob.core.windows.net/vizitky16/senat-64-br-cssd-ladislav-velebny.jpg,
57,Jiří ,Žák,64,,TRUE,64,5,,Žák,Jiří,https://samizdat.blob.core.windows.net/vizitky16/senat-64-br-ods-jiri-zak.jpg,
58,Miroslav,Sládek,64,,TRUE,64,8,,Sládek,Miroslav,https://samizdat.blob.core.windows.net/vizitky16/senat-64-br-republikani-miroslav-sladek.jpg,
59,Ivo,Barteček,61,,TRUE,61,4,,Barteček,Ivo,https://samizdat.blob.core.windows.net/vizitky16/ol-senat-61-strana-soukromniku-cr-ivo-bartecek.jpg,
60,Milan,Brázdil,61,,TRUE,61,9,,Brázdil,Milan,https://samizdat.blob.core.windows.net/vizitky16/ol-senat-61-ano2011-milan-brazdil.jpg,
61,Eva,Hrindová,61,,TRUE,61,8,,Hrindová,Eva,https://samizdat.blob.core.windows.net/vizitky16/ol-senat-61-alternativa-pro-cr-eva-hrindova.jpg,
62,Lumír,Kantor,61,,TRUE,61,3,,Kantor,Lumír,https://samizdat.blob.core.windows.net/vizitky16/ol-senat-61-kdu-csl-lumir-kantor.jpg,
63,Jaroslav,Morávek,61,,TRUE,61,5,,Morávek,Jaroslav,https://samizdat.blob.core.windows.net/vizitky16/ol-senat-61-ods-jaroslav-moravek.jpg,
64,Zdeňka,Szukalská,61,,TRUE,61,7,,Szukalská,Zdenka,https://samizdat.blob.core.windows.net/vizitky16/ol-senat-61-kscm-zdenka-szuklska.jpg,
65,Martin,Tesařík,61,,TRUE,61,6,,Tesařík,Martin,https://samizdat.blob.core.windows.net/vizitky16/ol-senat-61-cssd-martin-tesarik.jpg,
66,Václav,Šimek,61,,TRUE,61,2,,Šimek,Václav,https://samizdat.blob.core.windows.net/vizitky16/ol-senat-61-narodni-demokracie-vaclav-simek.jpg,
67,Pavel,Andrš,61,,TRUE,61,1,,Andrš,Pavel,https://samizdat.blob.core.windows.net/vizitky16/ol-senat-61-koruna-ceska-pavel-andrs.jpg,
68,Barbora,Antonová,58,,TRUE,58,7,,Antonová,Barbora,https://samizdat.blob.core.windows.net/vizitky16/senat-58-top09-zitbrno-sz-barbora-antonova.jpg,
69,Jiří,Čejka,58,,TRUE,58,6,,Čejka,Jiří,https://samizdat.blob.core.windows.net/vizitky16/senat-58-cssd-jiri-cejka.jpg,
70,Jiří,Dušek,58,,TRUE,58,3,,Dušek,Jiří,https://samizdat.blob.core.windows.net/vizitky16/senat-58-ano-jiri-dusek.jpg,
71,Stanislav,Juránek,58,,TRUE,58,1,,Juránek,Stanislav,https://samizdat.blob.core.windows.net/vizitky16/senat-58-kdu-csl-stanislav-juranek.jpg,
72,Jiří,Pernes,58,,TRUE,58,2,,Pernes,Jiří,https://samizdat.blob.core.windows.net/vizitky16/senat-58-moravane-ods-jiri-pernes.jpg,
73,Oldřich,Duchoň,58,,TRUE,58,8,,Duchoň,Oldřich,https://samizdat.blob.core.windows.net/vizitky16/senat-58-kscm-oldrich-duchon.jpg,
74,Luďek,Moudrý,58,,TRUE,58,5,,Moudrý,Luděk,https://samizdat.blob.core.windows.net/vizitky16/senat-58-usvit-ludek-moudry.jpg,
75,Lucie,Zajícová,58,,TRUE,58,4,,Zajícová,Lucie,https://samizdat.blob.core.windows.net/vizitky16/senat-58-nd-lucie-zajicova.jpg,
76,Lubomír,Žalud,58,,TRUE,58,9,,Žalud,Lubomír,https://samizdat.blob.core.windows.net/vizitky16/senat-58-koruna-ceska-lubomir-zalud.jpg,
77,Radoslav,Skála,55,,TRUE,55,8,,Skála,Radoslav,https://samizdat.blob.core.windows.net/vizitky16/senat-55-kscm-radoslav-skala.jpg,
78,Pavel,Staněk,55,,TRUE,55,5,,Staněk,Pavel,https://samizdat.blob.core.windows.net/vizitky16/senat-55-ano-pavel-stanek.jpg,
79,Jiří,Ventruba,55,,TRUE,55,6,,Ventruba,Jiří,https://samizdat.blob.core.windows.net/vizitky16/senat-55-ods-jiri-ventruba.jpg,
80,Jan,Žaloudík,55,,TRUE,55,4,,Žaloudík,Jan,https://samizdat.blob.core.windows.net/vizitky16/senat-55-cssd-jan-zaloudik.jpg,
81,Bohuslav,Klíma,55,,TRUE,55,7,,Klíma,Bohuslav,https://samizdat.blob.core.windows.net/vizitky16/senat-55-moravane-bohuslav-klima.jpg,
82,Jiří,Brančík,55,,TRUE,55,2,,Brančík,Jiří,https://samizdat.blob.core.windows.net/vizitky16/senat-55-svoboda-a-sila-jiri-brancik.jpg,
83,Ivo,Minařík,55,,TRUE,55,3,,Minařík,Ivo,https://samizdat.blob.core.windows.net/vizitky16/senat-55-usvit-ivo-minarik.jpg,
85,Helena,Vrzalová,52,,TRUE,52,9,,Vrzalová,Helena,https://samizdat.blob.core.windows.net/vizitky16/senat-52-kscm-helena-vrzalova.jpg,
86,Miloš,Vystrčil,52,,TRUE,52,2,,Vystrčil,Miloš,https://samizdat.blob.core.windows.net/vizitky16/senat-52-ods-milos-vystrcil.jpg,
87,Michal,Stehlík,52,,TRUE,52,1,,Stehlík,Michal,https://samizdat.blob.core.windows.net/vizitky16/senat-52-kdu-csl-michal-stehlik.jpg,
88,Petr,Paul,52,,TRUE,52,5,,Paul,Petr,https://samizdat.blob.core.windows.net/vizitky16/senat-52-svoboda-a-prima-demokracie-petr-paul.jpg,
