id,jmeno,prijmeni,obvod,,,obvod,cislo,,prijmeni,jmeno,foto,cro_n
163,Jiří,Růžička,25,,TRUE,25,4,,Růžička,Jiří,https://samizdat.blob.core.windows.net/vizitky16/senat-25-top09-jiri-ruzicka.jpg,
164,Vlastimil,Harapes,25,,TRUE,25,7,,Harapes,Vlastimil,https://samizdat.blob.core.windows.net/vizitky16/senat-25-ano2011-vlastimil-harapes.jpg,
165,Pavel,Franěk,25,,TRUE,25,3,,Franěk,Pavel,https://samizdat.blob.core.windows.net/vizitky16/senat-25-kscm-pavel-franek.jpg,
166,Bedřich,Danda,25,,TRUE,25,9,,Danda,Bedřich,https://samizdat.blob.core.windows.net/vizitky16/senat-25-strana-soukromniku-cr-bedrich-danda.jpg,
167,Václav,Bělohradský,25,,TRUE,25,8,,Bělohradský,Václav,https://samizdat.blob.core.windows.net/vizitky16/senat-25-cssd-a-sz-vaclav-belohradsky.jpg,
168,Jaroslav,Dvořák,25,,TRUE,25,1,,Dvořák,Jaroslav,https://samizdat.blob.core.windows.net/vizitky16/senat-25-strana-prav-obcanu-jaroslav-dvorak.jpg,
169,Martin,Šalek,25,,TRUE,25,10,,Šalek,Martin,https://samizdat.blob.core.windows.net/vizitky16/senat-25-rad-naroda-martin-salek.jpg,
170,Daniel,Solis,25,,TRUE,25,2,,Solis,Daniel,https://samizdat.blob.core.windows.net/vizitky16/senat-25-spr-rsc-daniel-solis.jpg,
171,Aleš,Hušák,25,,TRUE,25,5,,Hušák,Aleš,https://samizdat.blob.core.windows.net/vizitky16/senat-25-nezavisli-ales-husak.jpg,
172,Ivana,Cabrnochová,22,,TRUE,22,5,,Cabrnochová,Ivana,https://samizdat.blob.core.windows.net/vizitky16/senat-22-sz-a-cssd-ivana-cabrnochova.jpg,
173,Irena,Bartoňová Pálková,22,,TRUE,22,3,,Bartoňová Pálková,Irena,https://samizdat.blob.core.windows.net/vizitky16/senat-22-ods-irena-bartonova-palkova.jpg,
174,Jiří ,Holubář,22,,TRUE,22,8,,Holubář,Jiří,https://samizdat.blob.core.windows.net/vizitky16/senat-22-top09-jiri-holubar.jpg,
175,Renata,Chmelová,22,,TRUE,22,1,,Chmelová,Renata,https://samizdat.blob.core.windows.net/vizitky16/senat-22-vlasta-koalice-obcanu-prahy-10-kdu-csl-les-renata-chmelova.jpg,
176,Eva,Kislingerová,22,,TRUE,22,2,,Kislingerová,Eva,https://samizdat.blob.core.windows.net/vizitky16/senat-22-ano2011-eva-kislingerova.jpg,
177,Miroslav,Koranda,22,,TRUE,22,10,,Koranda,Miroslav,https://samizdat.blob.core.windows.net/vizitky16/senat-22-patrioti-cr-miroslav-koranda.jpg,
178,Ludmila,Nedělkova,22,,TRUE,22,9,,Nedělkova,Ludmila,https://samizdat.blob.core.windows.net/vizitky16/senat-22-kscm-ludmila-nedelkova.jpg,
179,Felix,Slováček,22,,TRUE,22,6,,Slováček,Antonín,https://samizdat.blob.core.windows.net/vizitky16/senat-22-strana-soukromniku-cr-antonin-slovacek.jpg,
180,Zdeněk,Schwarz,22,,TRUE,22,4,,Schwarz,Zdeněk,https://samizdat.blob.core.windows.net/vizitky16/senat-22-pro-prahu-zdenek-schwarz.jpg,
181,Josef,Hőrl,22,,TRUE,22,7,,Hőrl,Josef,https://samizdat.blob.core.windows.net/vizitky16/senat-22-ceska-strana-narodne-socialisticka-josef-horl.jpg,
182,Jana,Čunátová,19,,TRUE,19,10,,Čunátová,Jana,https://samizdat.blob.core.windows.net/vizitky16/senat-19-kscm-jana-cunatova.jpg,
183,Ladislav,Kos,19,,TRUE,19,8,,Kos,Ladislav,https://samizdat.blob.core.windows.net/vizitky16/senat-19-koalice-hnuti-pro-prahu-11-kdu-csl-sz-pirati-ladislav-kos.jpg,
184,Jan,Koukal,19,,TRUE,19,5,,Koukal,Jan,https://samizdat.blob.core.windows.net/vizitky16/senat-19-strana-soukromníku-jan-koukal.jpg,
185,Jakub,Lepš,19,,TRUE,19,9,,Lepš,Jakub,https://samizdat.blob.core.windows.net/vizitky16/senat-19-top09-jakub-leps.jpg,
186,Miroslava,Skovajsová,19,,TRUE,19,6,,Skovajsová,Miroslava,https://samizdat.blob.core.windows.net/vizitky16/senat-19-cssd-miroslava-skovajsova.jpg,
187,Marta,Šorfová,19,,TRUE,19,7,,Šorfová,Marta,https://samizdat.blob.core.windows.net/vizitky16/senat-19-ods-marta-sorfova.jpg,
188,Helena,Válková,19,,TRUE,19,2,,Válková,Helena,https://samizdat.blob.core.windows.net/vizitky16/senat-19-ano-2011-helena-valkova.jpg,
189,Petr,Hannig,19,,TRUE,19,4,,Hannig,Petr,https://samizdat.blob.core.windows.net/vizitky16/senat-19-strana-zdraveho-rozumu-ne-ilegalni-imigraci-petr-hannig.jpg,
190,Věra,Hollerová,19,,TRUE,19,1,,Hollerová,Věra,https://samizdat.blob.core.windows.net/vizitky16/senat-19-ksc-vera-hollerova.jpg,
191,Věra,Příhodová,19,,TRUE,19,11,,Příhodová,Věra,https://samizdat.blob.core.windows.net/vizitky16/senat-19-svoboda-a-prima-demokracie-tomio-okamura-vera-prihodova.jpg,
192,Petr,Sýkora,19,,TRUE,19,12,,Sýkora,Petr,https://samizdat.blob.core.windows.net/vizitky16/senat-19-jizni-mesto-petr-sykora.jpg,
193,Martin,Vacek,19,,TRUE,19,3,,Vacek,Martin,https://samizdat.blob.core.windows.net/vizitky16/senat-19-hozk-martin-vacek.jpg,
194,Vladimír,Vilímec,19,,TRUE,19,13,,Vilímec,Vlastimil,https://samizdat.blob.core.windows.net/vizitky16/senat-19-pro-prahu-vlastimil-vilimec.jpg,
195,Jiří,Oberfalzer,16,,TRUE,16,2,,Oberfalzer,Jiří,https://samizdat.blob.core.windows.net/vizitky16/senat-16-ods-s-podporou-strany-soukromníku-a-svobodnych-jiri-oberfalzer.jpg,
196,Jan,Holásek,16,,TRUE,16,3,,Holásek,Jan,https://samizdat.blob.core.windows.net/vizitky16/senat-16-nestranici-kdu-csl-zelenych-piratu-jan-holasek.jpg,
197,Miroslav,Matyáš,16,,TRUE,16,7,,Matyáš,Miroslav,https://samizdat.blob.core.windows.net/vizitky16/senat-16-kscm-miroslav-matyas.jpg,
198,JIří,Peřina,16,,TRUE,16,5,,Peřina,Jiří,https://samizdat.blob.core.windows.net/vizitky16/senat-16-cssd-jiri-perina.jpg,
199,Bohumil,Stibal,16,,TRUE,16,4,,Stibal,Bohumil,https://samizdat.blob.core.windows.net/vizitky16/muz.png,
200,Tomáš,Trč,16,,TRUE,16,6,,Trč,Tomáš,https://samizdat.blob.core.windows.net/vizitky16/senat-16-top09-tomas-trc.jpg,
201,Jiří,Hroník,16,,TRUE,16,8,,Hroník,Jiří,https://samizdat.blob.core.windows.net/vizitky16/senat-16-hozk-jiri-hronik.jpg,
202,Jindřich,Bláha,13,,TRUE,13,1,,Bláha,Jindřich,https://samizdat.blob.core.windows.net/vizitky16/senat-13-ods-jindrich-blaha.jpg,
203,Jiří,Fišer,13,,TRUE,13,5,,Fišer,Jiří,https://samizdat.blob.core.windows.net/vizitky16/senat-13-koalice-tabor-2020-a-strarostove-a-nezavisli-jiri-fiser.jpg,
204,Pavel,Klíma,13,,TRUE,13,8,,Klíma,Pavel,https://samizdat.blob.core.windows.net/vizitky16/senat-13-top09-pavel-klima.jpg,
205,Martin,Konvička,13,,TRUE,13,6,,Konvička,Martin,https://samizdat.blob.core.windows.net/vizitky16/senat-13-strana-alternativa-pro-ceskou-republiku-martin-konvicka.jpg,
206,Petr,Král,13,,TRUE,13,2,,Král,Petr,https://samizdat.blob.core.windows.net/vizitky16/senat-13-piratska-strana-petr-kral.jpg,
207,Jan,Mládek,13,,TRUE,13,3,,Mládek,Jan,https://samizdat.blob.core.windows.net/vizitky16/senat-13-cssd-jan-mladek.jpg,
208,Ladislav,Šedivý,13,,TRUE,13,7,,Šedivý,Ladislav,https://samizdat.blob.core.windows.net/vizitky16/senat-13-kscm-ladislav-sedivy.jpg,
209,Jaroslav,Větrovský,13,,TRUE,13,4,,Větrovský,Jaroslav,https://samizdat.blob.core.windows.net/vizitky16/senat-13-hnuti-ano-jaroslav-vetrovsky.jpg,
210,Tomáš,Jirsa,10,,TRUE,10,4,,Jirsa,Tomáš,https://samizdat.blob.core.windows.net/vizitky16/senat-10-ods-tomas-jirsa.jpg,
211,Jindřich,Florián,10,,TRUE,10,1,,Florián,Jindřich,https://samizdat.blob.core.windows.net/vizitky16/senat-10-cssd-jindrich-florian.jpg,
212,Pavel,Himl,10,,TRUE,10,8,,Himl,Pavel,https://samizdat.blob.core.windows.net/vizitky16/senat-10-strana-zelenych-pavel-himl.jpg,
213,Radim ,Hreha,10,,TRUE,10,9,,Hreha,Radim,https://samizdat.blob.core.windows.net/vizitky16/senat-10-strana-alternativa-pro-ceskou-republiku-radim-hreha.jpg,
214,Tomáš,Novák,10,,TRUE,10,6,,Novák,Tomáš,https://samizdat.blob.core.windows.net/vizitky16/senat-10-piratska-strana-tomas-novak.jpg,
215,Marie,Paukejová,10,,TRUE,10,3,,Paukejová,Marie,https://samizdat.blob.core.windows.net/vizitky16/senat-10-strana-usvit-narodni-koalice-marie-paukejova.jpg,
216,Jitka,Zikmundová,10,,TRUE,10,5,,Zikmundová,Jitka,https://samizdat.blob.core.windows.net/vizitky16/senat-10-kdu-csl-jitka-zikmundova.jpg,
217,David,Žák,10,,TRUE,10,2,,Žák,David,https://samizdat.blob.core.windows.net/vizitky16/senat-10-koalice-top09-starostove-a-nezavisli-david-zak.jpg,
218,Miroslav,Máče,10,,TRUE,10,7,,Máče,Miroslav,https://samizdat.blob.core.windows.net/vizitky16/senat-10-kscm-miroslav-mace.jpg,
219,Jan,Rejfek,7,,TRUE,7,5,,Rejfek,Jan,https://samizdat.blob.core.windows.net/vizitky16/senat-07-kscm-jan-rejfek.jpg,
220,Jiří,Dort,7,,TRUE,7,1,,Dort,Jiří,https://samizdat.blob.core.windows.net/vizitky16/senat-07-top09-a-hnuti-starostove-jiri-dort.jpg,
221,Marcel,Hájek,7,,TRUE,7,3,,Hájek,Marcel,https://samizdat.blob.core.windows.net/vizitky16/senat-07-ods-marcel-hajek.jpg,
222,Pavel ,Havlíček,7,,TRUE,7,2,,Havlíček,Pavel,https://samizdat.blob.core.windows.net/vizitky16/senat-07-strana-soukromniku-pavel-havlicek.jpg,
223,Václav,Chaloupek,7,,TRUE,7,8,,Chaloupek,Václav,https://samizdat.blob.core.windows.net/vizitky16/senat-07-obcane-a-patrioti-vaclav-chaloupek.jpg,
224,Martin,Koller,7,,TRUE,7,7,,Koller,Martin,https://samizdat.blob.core.windows.net/vizitky16/senat-07-usvit-narodni-koalice-martin-koller.jpg,
225,Miroslava,Rutová,7,,TRUE,7,4,,Rutová,Miloslava,https://samizdat.blob.core.windows.net/vizitky16/senat-07-ano2011-miloslava-rutova.jpg,
226,Dagmar,Terelmešová,7,,TRUE,7,6,,Terelmešová,Dagmar,https://samizdat.blob.core.windows.net/vizitky16/senat-07-cssd-dagmar-terelmesova.jpg,
227,Jiří,Biolek,4,,TRUE,4,7,,Biolek,Jiří,https://samizdat.blob.core.windows.net/vizitky16/senat-4-stan-jiri-biolek.jpg,
228,Alena,Dernerová,4,,TRUE,4,1,,Dernerová,Alena,https://samizdat.blob.core.windows.net/vizitky16/senat-4-severocesi-cz-alena-dernerova.jpg,
229,Libuše,Hrdinová,4,,TRUE,4,3,,Hrdinová,Libuše,https://samizdat.blob.core.windows.net/vizitky16/senat-4-ods-libuse-hrdinova.jpg,
230,Josef,Nétek,4,,TRUE,4,6,,Nétek,Josef,https://samizdat.blob.core.windows.net/vizitky16/senat-4-kscm-josef-netek.jpg,
231,Jiří Maria,Sieber,4,,TRUE,4,2,,Sieber,Jiří Maria,https://samizdat.blob.core.windows.net/vizitky16/senat-4-rad-naroda-jiri-maria-sieber.jpg,
232,Jiří,Šlégr,4,,TRUE,4,5,,Šlégr,Jiří,https://samizdat.blob.core.windows.net/vizitky16/senat-4-cssd-jiri-slegr.jpg,
233,Ota,Zaremba,4,,TRUE,4,4,,Zaremba,Oto,https://samizdat.blob.core.windows.net/vizitky16/muz.png,
234,Petr,Hampl,16,,TRUE,16,1,,Hampl,Petr,https://samizdat.blob.core.windows.net/vizitky16/senat-16-alternativa-pro-cr-2017-petr-hampl.jpg,
235,Michal,Burian,55,,TRUE,55,1,,Burian,Michal,https://samizdat.blob.core.windows.net/vizitky16/senat-55-stan-michal-burian.jpg,
