id	jméno	zkratka	kód	link na logo u stran, které nekandidovali do posledních voleb (hlavně místní sdružení nebo koalice, ostatní máme)	poznámky, kontaky, atd.
1	Komunistická strana Čech a Moravy	KSČM	546324		
2	Koalice TOP09 a Křesťanskodemokratické unie a České strany lidové	Koalice TOP 09 a KDU-ČSL	976831		
3	ANO2011	ANO2011	153056		
4	Občanská demokratická strana	ODS	427625		
5	Nezávislí	Nezávislí	421862		
6	Česká strana sociálně demokratická	ČSSD	762861		
